name,type,betweenness,community
Dan Sprod,archive_holder,6.280482230960491e-06,32
Daniel J Daniel Josef Leab,archive_holder,3.2897764066935904e-06,33
Daniel S Lev,archive_holder,0.0001579092675212,265
Daniela Torsh,archive_holder,2.39256465941352e-06,222
Darcy family,archive_holder,0.0,34
David Blair,archive_holder,0.0017289270370086,45
David Brooks,archive_holder,0.0073501648219936,160
David Campbell,archive_holder,0.0398972660624028,94
David F David Fielding Wetherell,archive_holder,2.9907058242669e-07,118
David Foster,archive_holder,0.0054676806784595,160
David G Corke,archive_holder,0.0004737278025638,64
David John Carter,archive_holder,0.001256096446192,94
David Malouf,archive_holder,0.0034966573727802,160
David Martin,archive_holder,0.014458488714346,94
David Moore,archive_holder,0.0,36
David Morris,archive_holder,0.0,82
David Rowbotham,archive_holder,0.0054073783307428,94
Denis Freney,archive_holder,1.7944234945601402e-06,37
Denis Kevans,archive_holder,0.0,38
Denis Warner,archive_holder,0.0056227440534527,39
Dennis Altman,archive_holder,0.0033458182730914,40
Dennis Haskell,archive_holder,0.0049422255377427,160
Densey Clyne,archive_holder,2.0934940769868303e-06,41
Derek John Derek Freeman,archive_holder,0.0017289270370086,78
Desmond Digby,archive_holder,0.0,84
Diana Giese,archive_holder,2.69163524184021e-06,42
Diana Phillips,archive_holder,2.9907058242669e-07,160
Diane Fahey,archive_holder,0.0,43
Don Aitkin,archive_holder,0.0,44
Don Whitington,archive_holder,0.0017240189724203,40
Donald Kilgour Rodgers,archive_holder,0.0014137066431309,45
Donald Leslie Johnson,archive_holder,0.0008599531089156,276
Donald Stuart,archive_holder,0.001256096446192,64
Donovan Clarke,archive_holder,0.0029046365064003,84
Dora Birtles,archive_holder,0.0,46
Dora Wilcox,archive_holder,0.0037739627306838,82
Doris Chadwick,archive_holder,0.0025534190911104,94
Dorothy Cottrell,archive_holder,0.0,223
Dorothy Fitzpatrick,archive_holder,0.0006316370700851,52
Dorothy Green,archive_holder,0.0198859834097879,94
Dorothy Hewett,archive_holder,0.0124269190445353,179
Dorothy Horsfield,archive_holder,0.0016865957828514,73
Douglas Lockwood,archive_holder,0.000161622727253,94
Douglas Stewart,archive_holder,0.0181646677689551,94
Drusilla Modjeska,archive_holder,0.0050390961691688,24
Dudley Glass,archive_holder,2.9907058242669e-07,47
Dymphna Cusack,archive_holder,0.0032944811555451,94
E G Ernest Gordon Hallsworth,archive_holder,0.0014137066431309,39
E Garnet Edmund Garnet Bonney,archive_holder,0.0,48
E J Edwin James Brady,archive_holder,0.0099775333231731,82
E J Rupert Evelyn John Rupert Atkinson,archive_holder,0.003369339922275,82
E Morris Edmund Morris Miller,archive_holder,0.0018850418810354,186
E O G Edward Owen Giblin Shann,archive_holder,0.0,49
E R Eric Robertson Dodds,archive_holder,0.0,224
Edgar Ross,archive_holder,0.0001579092675212,276
Edna Purdie,archive_holder,0.0014137066431309,279
Edward Dyson,archive_holder,0.0,50
Elden De Steiger,archive_holder,8.972117472800701e-07,51
Eleanor Dark,archive_holder,0.0158469563269649,52
Elizabeth Cameron Dalman,archive_holder,0.0,53
Elizabeth Harrower,archive_holder,0.0042259046037672,94
Elizabeth Morrison,archive_holder,0.0,54
Elizabeth Reid,archive_holder,0.0001579092675212,206
Elizabeth Riddell,archive_holder,0.0010026175023706,113
Elizabeth Salter,archive_holder,0.0019047756460286,225
Ellen Frances Young,archive_holder,0.0,55
Elliot L Elliot Lovegood Grant Watson,archive_holder,0.0009635236876826,225
Elyne Mitchell,archive_holder,0.0013105410625513,113
Enid Herring,archive_holder,0.0,56
Eric Baume,archive_holder,5.38327048368042e-06,166
Eric C Eric Charles Rolls,archive_holder,0.0059791061290231,40
Eric Ernest Williams,archive_holder,0.0001579092675212,206
Eric Gross,archive_holder,0.0001579092675212,96
Eric Irvin,archive_holder,0.0,226
Erle Harold Cox,archive_holder,0.0003547874492805,201
Ernest G Ernest George Moll,archive_holder,0.0155032731872553,94
Ernestine Hill,archive_holder,0.0004982562974216,225
Esme Biddulph,archive_holder,2.9907058242669e-07,227
Esther Nea Smith,archive_holder,0.0,57
Ettore Rella,archive_holder,0.0004140934600463,84
Eva Isaacs,archive_holder,0.0,228
Eve Pownall,archive_holder,5.9814116485338e-07,58
F B Francis Barrymore Smith,archive_holder,5.9814116485338e-07,192
F E Frederick Edmund Emery,archive_holder,5.9814116485338e-07,229
F J H Francis Joseph Henry Letters,archive_holder,2.9907058242669e-07,59
F K Francis Keble Crowley,archive_holder,0.0,60
Frances Lady McNicoll,archive_holder,0.0048796554210787,172
Francis Adams,archive_holder,0.0005269157865891,186
Francis Byrne,archive_holder,0.0004737278025638,94
Francis James,archive_holder,0.0035723622420749,265
Francis Mrs Vidal,archive_holder,2.9907058242669e-06,61
Francis Philip Wallis,archive_holder,1.7944234945601402e-06,230
Francis West,archive_holder,0.0142385387386255,62
Frank Clune,archive_holder,0.0077274684332319,82
Frank Dalby Davison,archive_holder,0.0145641276657999,279
Frank Dixon,archive_holder,0.0,63
Frank Eyre,archive_holder,0.000384877539749,216
Frank Francis Joseph Hardy,archive_holder,0.0053540539549968,94
Frank Huelin,archive_holder,0.0004852525239409,64
Frank Kellaway,archive_holder,0.0103767714879702,35
Frank Moorhouse,archive_holder,0.0067070544936132,40
Frank Ryland,archive_holder,0.0008740528940287,65
Fred Davison,archive_holder,0.0014955586113969,186
Fred R Blanks,archive_holder,0.00376695156737,96
Frederick T Frederick Thomas Macartney,archive_holder,0.0,231
Frederick W Frederick Walter Robinson,archive_holder,5.9814116485338e-07,232
G C Geoffrey Colin Harcourt,archive_holder,1.49535291213345e-06,66
G C Geoffrey Curgenven Bolton,archive_holder,0.0077384225556133,186
G C Gordon Clive Bleeck,archive_holder,1.7944234945601402e-06,233
G H Gordon Hannington Luce,archive_holder,0.0,234
G J Geraldine J Walker,archive_holder,0.0014137066431309,62
G W George Walter Wicking,archive_holder,3.724542214001802e-05,186
G W Gordon William Ford,archive_holder,0.0,67
Garry Woodard,archive_holder,0.0016807522548183,206
Gary Catalano,archive_holder,0.0030207336614204,179
Gary Neat,archive_holder,0.0,68
Gavin Souter,archive_holder,0.0122608383382226,116
Geoffrey Blainey,archive_holder,0.0016490311037926,64
Geoffrey Dutton,archive_holder,0.0520994840882071,176
Geoffrey Sawer,archive_holder,0.0054921321756837,206
George A King,archive_holder,0.0,69
George Caiger,archive_holder,0.0003158185350425,52
George Collector Mackaness,archive_holder,0.034551968192516,296
George Essex Evans,archive_holder,0.0,70
George Henry Haydon,archive_holder,5.9814116485338e-07,235
George Johnston,archive_holder,0.0029444503306686,177
George Mackaness,archive_holder,0.0006316370700851,94
George Robertson,archive_holder,0.0064761696518504,82
Gerald G Gerald Gill Firth,archive_holder,3.2897764066935904e-06,3
Gerald OCollins,archive_holder,5.9814116485338e-07,236
Geraldine Eardley Turner,archive_holder,0.0,237
Gervas Huxley,archive_holder,0.0,71
Gillian Bouras,archive_holder,0.0021159900516857,24
Gordon Neil Stewart,archive_holder,0.0,94
Graham Howitt Wilkinson,archive_holder,0.0,238
Graham Perkin,archive_holder,0.0003158185350425,239
Gus ODonnell,archive_holder,0.0,72
Guy Innes,archive_holder,0.0,279
Gwen Harwood,archive_holder,0.0071267567686353,35
Gwen Meredith,archive_holder,0.0062631368981681,206
Gwen Stockfeld,archive_holder,0.0056506395843698,73
Gwen WalkerSmith,archive_holder,0.0006316370700851,84
H B Henry Baynton Gullett,archive_holder,0.0017146019185693,74
H Duncan Hessel Duncan Hall,archive_holder,0.0051891668724764,94
H F Hesba Fay Brinsmead,archive_holder,0.0004737278025638,239
H Henrietta DrakeBrockman,archive_holder,0.0020606252691067,40
H J Harold James Oliver,archive_holder,0.0,240
H W Harold Welbourn King,archive_holder,0.0,75
Hal Porter,archive_holder,0.0049177527743819,64
Hans Mol,archive_holder,0.0,241
Harold Stewart,archive_holder,0.0033061563292611,84
Harry Cooke,archive_holder,0.0,76
Harry Glathe,archive_holder,0.0,242
Harry Hastings Pearce,archive_holder,0.0031910379131746,82
Harry Hooton,archive_holder,0.0018844437398705,52
Hazel De Berg,archive_holder,0.0027703687851695,74
Heather Radi,archive_holder,0.0,243
Helen Daphne Armstrong,archive_holder,0.0,77
Helen Ester,archive_holder,0.0,78
Helen Garner,archive_holder,0.0019315477673168,160
Helen Heney,archive_holder,1.49535291213345e-06,79
Helen Irving,archive_holder,0.0,244
Henry C James,archive_holder,2.9907058242669e-07,245
Henry E Henry Ernest Boote,archive_holder,0.0019942202433022,201
Henry G Henry George Lamond,archive_holder,0.0,80
Henry Handel Richardson,archive_holder,0.012322409130205,279
Henry J Cowan,archive_holder,0.0,81
Henry Kendall,archive_holder,0.0007315724226655,84
Henry Lawson,archive_holder,0.0028628908425917,82
Henry Reynolds,archive_holder,0.0038096627405068,186
Herbert Feith,archive_holder,0.0014131085019661,265
Herbert Mishael,archive_holder,0.0068845119061313,74
Hercules George Robert Sir Robinson,archive_holder,1.19628232970676e-06,83
Hertha Lady Hay,archive_holder,0.0020441474308864,74
Hilary Cohen,archive_holder,0.0001579092675212,35
Hilary McPhee,archive_holder,0.0054385105659044,24
Hilda Abbott,archive_holder,0.0022017576278252,186
Honor Thwaites,archive_holder,0.0014184917724497,160
Hope Hewitt,archive_holder,0.0,246
Horace Stelling,archive_holder,0.0014758854415448,94
Howard E Howard Ernest Williams,archive_holder,0.0017289270370086,206
Hugh Anderson,archive_holder,0.0015697581917539,27
Hugh McCrae,archive_holder,0.0075730356221361,82
Hugh Stretton,archive_holder,0.006976313167521,116
Hugh V Hugh Vincent Clarke,archive_holder,0.0,85
Humphrey McQueen,archive_holder,0.0223870763743729,116
Hutchinson Co Publishers Ltd,archive_holder,0.0,306
Ian D Gust,archive_holder,0.0,248
Ian Templeman,archive_holder,0.0019170823977388,160
Ian Turner,archive_holder,6.860412855844007e-05,247
Inez Baranay,archive_holder,0.0066779087423082,177
Iris Milutinovic,archive_holder,0.0,279
Isla aBeckett Marsh,archive_holder,0.0050553571178031,74
Ivan Southall,archive_holder,0.0073264996995931,306
J A C James Austin Copland Mackie,archive_holder,0.0,86
J A Joseph Aloysius Alexander,archive_holder,2.0934940769868303e-06,87
J B James Bristock Brigden,archive_holder,0.0,88
J B John Bradley Hirst,archive_holder,0.0,249
J C Jack C Horner,archive_holder,0.0016804677579779,116
J D John Dashwood Holmes,archive_holder,0.0,250
J D John David Legge,archive_holder,0.0,89
J G Joseph Gabriel Starke,archive_holder,2.39256465941352e-06,251
J Griffyth James Griffyth Fairfax,archive_holder,2.272936426442844e-05,90
J H James Howard Catts,archive_holder,0.0016591996930437,276
J Henniker John Henniker Heaton,archive_holder,0.0,91
J J C John Jamieson Carswell Smart,archive_holder,0.0109459833168168,252
J L O James L O Tedder,archive_holder,0.0036127726357144,62
J M James Mackinnon Fowler,archive_holder,0.0008433013966048,201
J M Joseph Michael Powell,archive_holder,0.0,253
J Northcote Deck,archive_holder,1.7944234945601402e-06,92
J P Jack Philip McKinney,archive_holder,0.0003158185350425,113
J R James Ralph Darling,archive_holder,0.0106904910049673,206
J R John Robert Philip,archive_holder,0.0001579092675212,113
J S Joseph Stewart Weatherston,archive_holder,0.0,93
Jack Beasley,archive_holder,0.0014441876603985,94
Jack Hibberd,archive_holder,0.0033929367043058,160
Jack Lindsay,archive_holder,0.0089004249059613,94
Jack Ruth,archive_holder,0.0,254
James Gleeson,archive_holder,0.0014326738380204,176
James Griffin,archive_holder,0.0001576101969388,40
James Hackston,archive_holder,0.0,82
James McQueen,archive_holder,0.0,95
James Murdoch,archive_holder,0.0027319521517564,96
James Picot,archive_holder,0.003034272806627,65
James R James Robert Pound,archive_holder,0.0,97
James Smith,archive_holder,0.0,255
James Tucker,archive_holder,0.0020570404068314,27
James Vincent OLoghlin,archive_holder,2.39256465941352e-06,256
James Walter,archive_holder,0.0,206
Jan Nicholas,archive_holder,0.0,116
Jane Lindsay,archive_holder,0.0001579092675212,94
Janet Hawley,archive_holder,0.0012903200780442,113
Jean Campbell,archive_holder,0.0,98
Jean L Stevenson,archive_holder,0.0001579092675212,52
Jean Scott Rogers,archive_holder,0.0001579092675212,176
Jean Skuse,archive_holder,0.0018865372339475,252
Jenni Farrell,archive_holder,5.9814116485338e-07,99
Jennie Scott Griffiths,archive_holder,1.19628232970676e-06,100
Jennifer Compton,archive_holder,0.0017025749117256,179
Jerzy Zubrzycki,archive_holder,0.0034631174222055,252
Jessica Anderson,archive_holder,0.0,101
Jill Hellyer,archive_holder,0.0056508262022218,94
Jill Jolliffe,archive_holder,0.0042756356255071,265
Jimmy Sharman,archive_holder,4.067359921002984e-05,102
Joan Kerr,archive_holder,0.003140839256645,116
Joan Lindsay,archive_holder,0.000170646842271,216
Jocelynne A Dr Scutt,archive_holder,1.19628232970676e-06,103
Jock John Kirwan Hector,archive_holder,0.0001579092675212,176
John A Scott,archive_holder,0.0,160
John Alexander Ferguson,archive_holder,0.0007895463376064,27
John Arnold,archive_holder,0.0020106992014491,94
John Banks Shepherdson,archive_holder,0.0,104
John Beston,archive_holder,0.0009862953605798,176
John Blay,archive_holder,0.001256096446192,179
John Bussey,archive_holder,2.69163524184021e-06,105
John C John Carew Sir Eccles,archive_holder,0.0,106
John Campbell Earl,archive_holder,0.0,107
John Cargher,archive_holder,0.0,108
John Fisher,archive_holder,0.0001579092675212,201
John G Paton,archive_holder,0.0,257
John Gordon Lyons,archive_holder,0.0,109
John Grant,archive_holder,0.0006316370700851,27
John Hamilton,archive_holder,9.57025863765408e-06,110
John Hopkins,archive_holder,0.0006672695149807,96
John John C Bryant,archive_holder,1.7346093780748022e-05,122
John John Ernest Tranter,archive_holder,0.0036554794683284,160
John John Gordon Morrison,archive_holder,0.0,64
John John Mayston Bechervaise,archive_holder,0.0068967912451186,265
John K John Keith Ewers,archive_holder,0.0,111
John Kendrick Blogg,archive_holder,0.0024262498199272,279
John Kinsella,archive_holder,0.0063439805353847,179
John M Farquharson,archive_holder,5.9814116485338e-07,251
John N John Neylon Molony,archive_holder,0.0,258
John Passmore,archive_holder,0.0175847149650984,252
John Ritchie,archive_holder,0.0007895463376064,116
John Shaw Neilson,archive_holder,0.003028522357748,82
John Sir Willison,archive_holder,0.0,259
John Thompson,archive_holder,0.0223166906629303,94
John Vincent Sir Barry,archive_holder,0.002516978021703,45
John W John Wear Burton,archive_holder,2.0934940769868303e-06,139
John Worrall,archive_holder,0.0040847060147837,26
John approximately Freeman,archive_holder,1.7944234945601402e-06,235
Joseph Michael Forde,archive_holder,0.0036851169172438,27
Joy Lindrum Gillan,archive_holder,0.0,112
Judah Waten,archive_holder,0.0318824740404676,94
Judith Wright,archive_holder,0.0346991320651331,113
Jules Francois Archibald,archive_holder,0.0,35
Julian Croft,archive_holder,0.0007274146716073,113
Julie Lewis,archive_holder,0.0035088260141982,177
Julius Stone,archive_holder,0.0,114
June Factor,archive_holder,0.0018018253506712,64
Juno Gemes,archive_holder,4.564756998246687e-06,179
Justin DAth,archive_holder,0.0,115
K S Kenneth Stanley Inglis,archive_holder,0.001678101265645,116
Kate McNamara,archive_holder,0.0017007886931586,179
Katharine Susannah Prichard,archive_holder,0.0145012075299607,94
Katherine Stirling Kerr author Cawsey,archive_holder,0.0,260
Kathleen Mary Fallon,archive_holder,0.0,84
Keith Arthur Sir Murdoch,archive_holder,0.0031945943156434,201
Keith Shadwick,archive_holder,0.0,117
Keith died Richards,archive_holder,0.0033217412134526,40
Kenneth E Read,archive_holder,1.49535291213345e-06,118
Kenneth H Kenneth Harril Gifford,archive_holder,0.0,119
Kenneth Mackenzie,archive_holder,0.0001579092675212,94
Kenneth Orr,archive_holder,0.0,261
Kenneth Rivett,archive_holder,0.0007287314125132,186
Kenneth Sir Bailey,archive_holder,2.9907058242669e-07,120
Kenneth Slessor,archive_holder,0.0348502737064512,94
Kerry White,archive_holder,0.0036939683872113,113
Kevin Gilbert,archive_holder,0.0017730193871475,113
Kevin Power,archive_holder,0.0,262
Klaus Hueneke,archive_holder,0.0,121
Kylie Tennant,archive_holder,0.0386931964501911,94
L C Lewis Charles Rodd,archive_holder,0.0008153648170057,94
L D Lindsay Dixon Pryor,archive_holder,1.2560964461920982e-05,122
L F Leslie Finlay Crisp,archive_holder,0.0059473746460834,40
L J Leslie James Blake,archive_holder,0.0043403185114711,247
L L Ludwig Louis Politzer,archive_holder,2.9907058242669e-07,263
L M Langdon Marjoribanks Mowle,archive_holder,0.0,123
Lana KuhnSansom,archive_holder,2.9907058242669e-07,264
Lance Loughrey,archive_holder,0.0013286301424743,82
Larissa Behrendt,archive_holder,0.0,124
Laurence Collinson,archive_holder,0.0021118844082937,40
Laurence Pollinger Firm,archive_holder,0.0,84
Laurie Oakes,archive_holder,0.0026973010308433,276
Laurie Thomas,archive_holder,0.0042707276771433,74
Lawson Glassop,archive_holder,0.0001579092675212,62
Lee Pattinson,archive_holder,1.49535291213345e-06,125
Leicester Webb,archive_holder,0.0001579092675212,252
Len Barsdell,archive_holder,0.0004737278025638,35
Lennard Bickel,archive_holder,0.0054600553298918,276
Leo Basser,archive_holder,0.0,266
Leon Gellert,archive_holder,0.0,94
Leonard Broom,archive_holder,0.0001579092675212,252
Leonard Mann,archive_holder,0.0019423990598857,40
Leonie Star,archive_holder,0.0,114
Les A Les Allan Murray,archive_holder,0.0136071455883134,160
Leslie Haylen,archive_holder,0.0,126
Leslie Hollings,archive_holder,2.9907058242669e-07,127
Leszek Szymanski,archive_holder,2.9907058242669e-07,128
Lewis Lett,archive_holder,0.0,62
Lily Brett,archive_holder,0.0,129
Linda Jaivin,archive_holder,0.0017289270370086,24
Lloyd Sir Dumas,archive_holder,0.0,201
Lou Klepac,archive_holder,0.0062347872189468,176
Louis Becke,archive_holder,0.0,267
Louis Kahan,archive_holder,0.0001579092675212,176
Louis Nowra,archive_holder,0.0001579092675212,40
Louisa Anne Meredith,archive_holder,0.0001579092675212,35
Lyn Brown,archive_holder,0.0004737278025638,279
Lyndall Ryan,archive_holder,0.0018015790586091,116
Lyndel V Lyndel Vivien Prott,archive_holder,2.9907058242669e-07,130
Lynette Therese Day,archive_holder,0.0,268
M A Michael Alexander Smith,archive_holder,0.0,131
M R Maxwell Ralph Jacobs,archive_holder,8.972117472800701e-07,132
Maie Casey,archive_holder,0.0088496534845065,225
Malcolm Booker,archive_holder,0.0,133
Manning Clark,archive_holder,0.0739357740381254,116
Manwel NicholasBorg,archive_holder,0.0,134
Marceine Sweetser,archive_holder,0.0035055556075979,65
Marcel Aurousseau,archive_holder,0.0053367569266619,62
Marcie Muir,archive_holder,0.0039897324377765,113
Margaret Barbalet,archive_holder,0.0004737278025638,73
Margaret C Margaret Clare Sharpe,archive_holder,0.0,269
Margaret Marian Margaret Clarke,archive_holder,0.0028262170039322,94
Margaret Reynolds,archive_holder,0.0008067079548001,24
Margaret Tucker,archive_holder,0.0,270
Marian Eldridge,archive_holder,0.0137173864258535,73
Marie Louise Uhr,archive_holder,0.0,135
Marion Halligan,archive_holder,0.0167024893652535,24
Marjorie Pizer,archive_holder,0.0003158185350425,24
Marjorie Seymour Wells,archive_holder,0.0,271
Mark McKenna,archive_holder,0.0005843939171358,116
Marnie Bassett,archive_holder,0.0004737278025638,265
Martin Boyd,archive_holder,0.0112578908233878,74
Mary Dame Gilmore,archive_holder,0.0163604839756248,52
Mary E Mary Eliza Fullerton,archive_holder,0.0007895463376064,52
Maslyn Williams,archive_holder,0.008522249912457,216
Maureen Chan,archive_holder,0.0,272
Maurice Wills,archive_holder,0.0,136
